"","gains_losses","value","flux","case"
"161","east_extwalls_lwsurfaces_gain",112354.292925469,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"162","none_roof_lwsurfaces_loss",-1054157.68164829,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"163","none_floor_lwsurfaces_loss",-627085.842317516,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"164","none_intwalls_lwsurfaces_loss",-608826.255312964,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"165","south_extwalls_lwsurfaces_loss",-8631.25851481102,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"166","north_extwalls_lwsurfaces_loss",-138029.644107925,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"167","west_extwalls_lwsurfaces_loss",-336688.369774577,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"168","east_extwalls_lwsurfaces_loss",-90678.9044268018,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"169","none_roof_convection_gain",38122.964278775,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"170","none_floor_convection_gain",54700.896326411,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"171","none_intwalls_convection_gain",64817.5279990571,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"172","south_extwalls_convection_gain",85777.0135372345,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"173","north_extwalls_convection_gain",22760.5354024647,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"174","west_extwalls_convection_gain",94377.8924959853,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"175","east_extwalls_convection_gain",18433.9970361137,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"176","none_roof_convection_loss",-479477.844362188,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"177","none_floor_convection_loss",-470603.93261911,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"178","none_intwalls_convection_loss",-640502.907302779,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"179","south_extwalls_convection_loss",-119380.355347948,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"180","north_extwalls_convection_loss",-117647.224927563,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"181","west_extwalls_convection_loss",-375489.037428758,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"182","east_extwalls_convection_loss",-78894.7108812152,"Convection","U001_Caso01_1a7_hi_in1_1.csv"
"183","none_roof_conduction_gain",1209429.12644404,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"184","none_floor_conduction_gain",736194.56155058,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"185","none_intwalls_conduction_gain",850467.362599125,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
