"","gains_losses","value","flux","case","city","app","case_graph","gains","exchange","sum","per"
"89","south_extwalls_solarrad_loss",0,"solarrad","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-495960.427845522,0
"90","east_extwalls_solarrad_loss",0,"solarrad","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",-1213334.83675694,0
"91","none_roof_swlights_gain",2590.52916371877,"swlights","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","roof",1138220.65489593,0.0023
"92","none_floor_swlights_gain",2590.52916371877,"swlights","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","floor",1402504.51015534,0.0018
"93","none_intwalls_swlights_gain",4368.67503203347,"swlights","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",1723548.28956615,0.0025
"94","south_extwalls_swlights_gain",1724.53337123817,"swlights","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",495961.096024245,0.0035
"95","east_extwalls_swlights_gain",2741.80093970235,"swlights","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",1213334.14445817,0.0023
"96","none_roof_swlights_loss",0,"swlights","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","roof",-1138218.8073818,0
"97","none_floor_swlights_loss",0,"swlights","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1402503.35131599,0
"98","none_intwalls_swlights_loss",0,"swlights","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1723545.38241085,0
"99","south_extwalls_swlights_loss",0,"swlights","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-495960.427845522,0
"100","east_extwalls_swlights_loss",0,"swlights","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",-1213334.83675694,0
"101","none_roof_lwinternal_gain",32113.6288293075,"lwinternal","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","roof",1138220.65489593,0.0282
"102","none_floor_lwinternal_gain",32113.6288293075,"lwinternal","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","floor",1402504.51015534,0.0229
"103","none_intwalls_lwinternal_gain",54156.506099005,"lwinternal","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",1723548.28956615,0.0314
"104","south_extwalls_lwinternal_gain",18429.5406684654,"lwinternal","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",495961.096024245,0.0372
"105","east_extwalls_lwinternal_gain",29300.7562311199,"lwinternal","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",1213334.14445817,0.0241
