"","date_graph","time","month","day","gains_losses","value","flux","case"
"104",2019-10-01 07:00:00,8,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"105",2019-10-01 08:00:00,9,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"106",2019-10-01 09:00:00,10,10,1,"none_intwalls_convection_gain",12.9726076203555,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"107",2019-10-01 10:00:00,11,10,1,"none_intwalls_convection_gain",40.7353831640896,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"108",2019-10-01 11:00:00,12,10,1,"none_intwalls_convection_gain",59.0279152520021,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"109",2019-10-01 12:00:00,13,10,1,"none_intwalls_convection_gain",71.1722901767399,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"110",2019-10-01 13:00:00,14,10,1,"none_intwalls_convection_gain",81.7348398470585,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"111",2019-10-01 14:00:00,15,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"112",2019-10-01 15:00:00,16,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"113",2019-10-01 16:00:00,17,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"114",2019-10-01 17:00:00,18,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"115",2019-10-01 18:00:00,19,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"116",2019-10-01 19:00:00,20,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"117",2019-10-01 20:00:00,21,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"118",2019-10-01 21:00:00,22,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"119",2019-10-01 22:00:00,23,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"120",2019-10-01 23:00:00,24,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"121",2019-10-02 00:00:00,1,10,2,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
