"","gains_losses","value","case","city","app","case_graph","gains","exchange","per"
"92","vn_window_loss",-5166.24156523967,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","loss","vn_window",0.0017
"93","vn_window_gain",2752.62523299899,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","vn_window",9e-04
"94","vn_interzone_loss",-186965.817952081,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","loss","vn_interzone",0.062
"95","vn_interzone_gain",60209.9743226537,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","vn_interzone",0.0199
"96","none_roof_convection_gain",368756.118762684,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","roof",0.1235
"97","none_floor_convection_gain",600417.770778346,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","floor",0.2012
"98","none_intwalls_convection_gain",707294.785954497,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","intwalls",0.237
"99","north_extwalls_convection_gain",343649.623528934,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","north_extwalls",0.1151
"100","west_extwalls_convection_gain",93891.7756363802,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","west_extwalls",0.0315
"101","east_extwalls_convection_gain",397211.202551154,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","east_extwalls",0.1331
"102","east_windows_convection_gain",36830.3909104717,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","east_windows",0.0123
"103","none_roof_convection_loss",-5295.21617540209,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","loss","roof",0.0018
"104","none_floor_convection_loss",-42852.3511844738,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","loss","floor",0.0144
"105","none_intwalls_convection_loss",-93711.5700695588,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","loss","intwalls",0.0315
"106","north_extwalls_convection_loss",-19434.732381551,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","loss","north_extwalls",0.0065
"107","west_extwalls_convection_loss",-9484.51605479192,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","loss","west_extwalls",0.0032
"108","east_extwalls_convection_loss",-203.082187712292,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","loss","east_extwalls",1e-04
"109","east_windows_convection_loss",-29498.3410959754,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","loss","east_windows",0.0099
"110","internal_gains",380724.594767104,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","internal_gains",0.1276
"111","cooling",-2681262.77836625,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","loss","cooling",0.9005
"112","heating",0,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","heating",0
