"","month","gains_losses","value","case"
"182",9,"none_floor_convection_loss",-5471.2019372819,"U001_Caso01_1a7_ac_in1_1.csv"
"183",9,"none_intwalls_convection_loss",-5595.38524450203,"U001_Caso01_1a7_ac_in1_1.csv"
"184",9,"south_extwalls_convection_loss",-12512.9916361204,"U001_Caso01_1a7_ac_in1_1.csv"
"185",9,"north_extwalls_convection_loss",-3385.43424006083,"U001_Caso01_1a7_ac_in1_1.csv"
"186",9,"west_extwalls_convection_loss",-12403.6352748179,"U001_Caso01_1a7_ac_in1_1.csv"
"187",9,"east_extwalls_convection_loss",-2796.58667742203,"U001_Caso01_1a7_ac_in1_1.csv"
"188",9,"south_windows_convection_loss",-8260.19641156966,"U001_Caso01_1a7_ac_in1_1.csv"
"189",9,"west_windows_convection_loss",-6482.35218212746,"U001_Caso01_1a7_ac_in1_1.csv"
"190",10,"none_roof_convection_loss",-3298.10617823911,"U001_Caso01_1a7_ac_in1_1.csv"
"191",10,"none_floor_convection_loss",-5601.24203315146,"U001_Caso01_1a7_ac_in1_1.csv"
"192",10,"none_intwalls_convection_loss",-6137.81206924721,"U001_Caso01_1a7_ac_in1_1.csv"
"193",10,"south_extwalls_convection_loss",-11325.2081394196,"U001_Caso01_1a7_ac_in1_1.csv"
"194",10,"north_extwalls_convection_loss",-4009.62335850339,"U001_Caso01_1a7_ac_in1_1.csv"
"195",10,"west_extwalls_convection_loss",-12291.3717420084,"U001_Caso01_1a7_ac_in1_1.csv"
"196",10,"east_extwalls_convection_loss",-2811.36576830344,"U001_Caso01_1a7_ac_in1_1.csv"
"197",10,"south_windows_convection_loss",-8259.88429336088,"U001_Caso01_1a7_ac_in1_1.csv"
"198",10,"west_windows_convection_loss",-6559.56934186899,"U001_Caso01_1a7_ac_in1_1.csv"
"199",11,"none_roof_convection_loss",-2637.85655495864,"U001_Caso01_1a7_ac_in1_1.csv"
"200",11,"none_floor_convection_loss",-5526.41918050848,"U001_Caso01_1a7_ac_in1_1.csv"
"201",11,"none_intwalls_convection_loss",-6713.332747734,"U001_Caso01_1a7_ac_in1_1.csv"
"202",11,"south_extwalls_convection_loss",-7034.58825914835,"U001_Caso01_1a7_ac_in1_1.csv"
"203",11,"north_extwalls_convection_loss",-3724.62706480707,"U001_Caso01_1a7_ac_in1_1.csv"
"204",11,"west_extwalls_convection_loss",-10214.572379834,"U001_Caso01_1a7_ac_in1_1.csv"
"205",11,"east_extwalls_convection_loss",-2199.62271217125,"U001_Caso01_1a7_ac_in1_1.csv"
"206",11,"south_windows_convection_loss",-6589.93662991684,"U001_Caso01_1a7_ac_in1_1.csv"
"207",11,"west_windows_convection_loss",-5416.02055801864,"U001_Caso01_1a7_ac_in1_1.csv"
"208",12,"none_roof_convection_loss",-1008.97267291112,"U001_Caso01_1a7_ac_in1_1.csv"
"209",12,"none_floor_convection_loss",-3623.48602295426,"U001_Caso01_1a7_ac_in1_1.csv"
"210",12,"none_intwalls_convection_loss",-5060.27544554001,"U001_Caso01_1a7_ac_in1_1.csv"
"211",12,"south_extwalls_convection_loss",-3805.53020895691,"U001_Caso01_1a7_ac_in1_1.csv"
"212",12,"north_extwalls_convection_loss",-2850.72181266712,"U001_Caso01_1a7_ac_in1_1.csv"
