"","month","gains_losses","value","case","city","app","case_graph","gains","exchange","MonthAbb","per"
"94",4,"south_extwalls_convection_loss",-1126.41149253141,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Apr",0.0055
"95",4,"east_extwalls_convection_loss",-16.9618925802273,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Apr",1e-04
"96",4,"south_windows_convection_loss",-1795.16823352687,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Apr",0.0087
"97",5,"none_roof_convection_loss",-220.126551622562,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","May",9e-04
"98",5,"none_floor_convection_loss",-2670.38086192681,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","May",0.0108
"99",5,"none_intwalls_convection_loss",-6547.54170621769,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","May",0.0265
"100",5,"south_extwalls_convection_loss",-2757.46571280792,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","May",0.0112
"101",5,"east_extwalls_convection_loss",-11.9427487231665,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","May",0
"102",5,"south_windows_convection_loss",-2244.11550348279,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","May",0.0091
"103",6,"none_roof_convection_loss",-425.363515899451,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Jun",0.0017
"104",6,"none_floor_convection_loss",-2099.76754557444,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Jun",0.0086
"105",6,"none_intwalls_convection_loss",-6100.45643447754,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Jun",0.025
